broker_id,dealtype_id
1,3
3,3
4,3
6,3
10,3
11,3
13,3
14,3
15,3
19,3
20,3
21,3
22,3
23,3
25,3
28,3
34,3
35,3
37,3
41,3
42,3
45,3
46,3
47,3
51,3
53,3
58,3
63,3
65,3
69,3
70,3
72,3
73,3
74,3
75,3
79,3
85,3
87,3
88,3
90,3
94,3
96,3
99,3
100,3
102,3
105,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
139,3
140,4
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
171,3
172,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
