broker_id,regulator_id
1,5
1,20
1,4
3,5
3,23
3,34
4,20
4,5
5,3
6,3
6,4
6,44
10,23
10,34
11,9
11,4
11,30
12,5
13,5
13,44
13,40
13,3
13,34
14,5
14,3
15,4
15,3
16,5
19,23
19,5
19,20
20,15
20,5
21,6
22,6
22,34
23,3
23,45
23,5
24,5
25,26
25,4
25,3
27,4
27,3
28,33
29,5
30,5
30,19
32,3
33,5
34,20
35,20
36,5
37,5
37,33
38,5
40,5
40,4
41,4
41,23
41,5
42,5
42,16
42,44
44,3
45,5
45,3
45,34
45,15
46,45
46,3
46,21
46,51
47,5
47,23
48,16
49,18
49,24
50,3
51,15
51,3
52,5
52,3
53,5
56,4
57,12
57,4
57,21
58,11
58,40
58,14
59,22
60,3
62,3
63,16
63,5
64,20
65,3
65,48
65,27
66,5
66,33
67,3
67,21
67,29
69,12
70,44
71,4
71,3
72,3
72,44
73,23
74,27
75,16
75,14
75,34
75,43
75,3
76,14
77,3
77,5
79,3
79,23
80,5
82,6
83,5
84,5
85,32
85,11
86,22
87,5
88,5
88,15
89,15
89,8
90,5
90,44
91,44
92,5
93,18
93,16
95,5
96,45
96,3
96,5
97,34
98,5
99,4
99,48
99,15
100,3
101,3
101,4
102,4
102,16
103,18
104,3
105,4
105,33
105,3
105,27
107,5
108,45
109,3
110,34
110,5
111,33
113,5
114,4
114,44
114,23
114,34
114,15
115,5
115,3
115,46
115,4
116,4
116,5
116,44
116,33
117,4
117,33
118,33
118,15
120,4
120,33
121,5
122,14
122,5
122,21
123,20
123,5
123,34
123,59
124,3
124,44
126,14
127,44
128,5
128,33
128,10
129,4
129,12
129,44
130,3
130,33
131,23
131,5
132,16
133,5
133,23
134,33
135,20
136,23
139,23
140,5
140,3
140,4
140,23
142,4
142,33
143,50
144,23
145,23
146,4
147,20
148,33
148,4
149,15
149,5
152,4
152,33
153,23
153,5
154,12
154,23
155,4
155,45
156,15
156,3
157,44
158,52
159,23
159,5
160,44
161,23
161,44
162,49
162,23
162,3
162,41
162,53
163,41
163,15
163,33
164,50
164,3
165,3
165,15
165,44
165,54
166,4
166,23
166,49
166,34
167,15
167,33
167,44
168,3
168,55
168,45
168,56
169,44
169,23
170,23
170,5
171,23
172,4
172,44
172,34
174,62
174,3
174,5
174,40
174,15
175,65
176,23
177,23
177,15
177,33
178,66
178,15
179,4
179,44
180,4
180,45
180,3
180,5
